Model Used,Question Index,Question,Original Chunk,Chunks Retrieved,Answer,Reference Answer,Prompt Used
Qwen/Qwen3-0.6B,11,"As a state commissioner, do I need an order or approval for my official trip?",Chunk_10,chunk_10; chunk_8; chunk_64; chunk_3; chunk_9; chunk_5; chunk_54; chunk_38; chunk_6; chunk_12,"As a state commissioner, you **do not need an order or approval** for your official trip. The State Travel Expense Act (LRKG) § 3 states that such trips are not required, provided they are ordered or approved by your superior.","For official trips by the state commissioner for data protection to perform his or her duties under the State Data Protection Act, no order or approval is required.",v1
Qwen/Qwen3-0.6B,12,Are there required authorizations for official travel when serving as a state commissioner?,Chunk_10,chunk_10; chunk_8; chunk_5; chunk_3; chunk_64; chunk_9; chunk_6; chunk_54; chunk_52; chunk_2,"No, there are not required authorizations for official travel when serving as a state commissioner under the State Travel Expense Act (LRKG).","For official trips by the state commissioner for data protection to perform his or her duties under the State Data Protection Act, no order or approval is required.",v1
Qwen/Qwen3-0.6B,13,"As a government commissioner, do I need an order or approval for my official trip?",Chunk_10,chunk_10; chunk_8; chunk_64; chunk_9; chunk_61; chunk_3; chunk_54; chunk_18; chunk_5; chunk_52,"As a government commissioner, you do not need an order or approval for your official trip. The State Travel Expense Act (LRKG) §  Official Trips and Errands ) outlines that such trips are allowed without requiring approval, provided they are ordered or approved by the responsible superior.","For official trips by the government commissioner for the concerns of people with disabilities to perform his or her duties under the State Equal Opportunities for People with Disabilities Act, no order or approval is required.",v1
Qwen/Qwen3-0.6B,14,Are there required authorizations for government-related travel when you hold a government commissioner position?,Chunk_10,chunk_10; chunk_8; chunk_64; chunk_52; chunk_49; chunk_9; chunk_6; chunk_71; chunk_16; chunk_3,"Yes, there are required authorizations for government-related travel when you hold a government commissioner position.","For official trips by the government commissioner for the concerns of people with disabilities to perform his or her duties under the State Equal Opportunities for People with Disabilities Act, no order or approval is required.",v1
Qwen/Qwen3-0.6B,15,Am I free to choose the starting and end points of the trip?,Chunk_12,chunk_12; chunk_25; chunk_8; chunk_38; chunk_64; chunk_13; chunk_35; chunk_46; chunk_30; chunk_39,"Yes, you are free to choose the starting and ending points of the trip, as outlined in the State Travel Expense Act (LRKG). The principle of cost-effectiveness allows the official superior to designate the official premises as the starting and/or ending point of the trip if the travel route runs immediately past the official premises. If the trip is commenced or concluded at the traveler’s residence, the reimbursement of travel costs (§) or mileage allowance (§) shall be based on the distance from or to the residence, unless the official premises have been designated as the starting and/or ending point. In the case of multiple residences or accommodations, the one nearest to the official premises shall be decisive.","The starting and ending points of an official trip are generally to be determined by the traveler in accordance with the principle of cost-effectiveness. Deviating from this, the official superior may designate the official premises as the starting and/or ending point of the trip if the travel route runs immediately past the official premises.",v1
Qwen/Qwen3-0.6B,16,Are the trip's beginning and ending locations flexible?,Chunk_12,chunk_12; chunk_8; chunk_47; chunk_30; chunk_38; chunk_9; chunk_39; chunk_43; chunk_64; chunk_25,"Yes, the trip's beginning and ending locations are flexible. The official trip's starting and ending points are determined by the traveler based on cost-effectiveness, and they may be designated as the starting or ending point if the travel route runs immediately past the official premises. If the trip is conducted at the traveler's residence, the reimbursement is based on the distance from or to the residence, unless the official premises have been designated as the starting or ending point. In the case of multiple residences or accommodations, the one nearest to the official premises is decisive.","The starting and ending points of an official trip are generally to be determined by the traveler in accordance with the principle of cost-effectiveness. Deviating from this, the official superior may designate the official premises as the starting and/or ending point of the trip if the travel route runs immediately past the official premises.",v1
Qwen/Qwen3-0.6B,17,"In case an official trip begins or ends at my residence rather than the official workplace, on what basis is travel cost reimbursement calculated?",Chunk_12,chunk_12; chunk_40; chunk_37; chunk_7; chunk_35; chunk_42; chunk_38; chunk_39; chunk_4; chunk_36,"In case an official trip begins or ends at your residence rather than the official workplace, travel cost reimbursement is calculated based on the distance from or to your residence, unless the official premises have been designated as the starting and/or ending point.","In case of an official trip that is commenced and/or concluded at the traveler’s residence, the reimbursement of travel costs (§ 4) or the mileage allowance (§ 5) shall be based on the distance from or to the residence, unless the official premises have been designated as the starting and/or ending point.",v1
Qwen/Qwen3-0.6B,18,How are travel expenses covered when official travel doesn't start and stop at the normal work location?,Chunk_12,chunk_8; chunk_12; chunk_2; chunk_40; chunk_39; chunk_9; chunk_6; chunk_38; chunk_35; chunk_49,"When official travel doesn't start and stop at the normal work location, travel expenses are covered under the provisions of the State Travel Expense Act (LRKG) § 1, which outlines the reimbursement of expenses for official trips and errands. The official superior may designate the starting and/or ending point of the trip as the official premises if the travel route runs immediately past them, or the traveler's residence if the trip is commenced or concluded there. The reimbursement is based on the distance from or to the residence, unless the official premises are designated as the starting and/or ending point.","In case of an official trip that is commenced and/or concluded at the traveler’s residence, the reimbursement of travel costs (§ 4) or the mileage allowance (§ 5) shall be based on the distance from or to the residence, unless the official premises have been designated as the starting and/or ending point.",v1
Qwen/Qwen3-0.6B,19,When is the deadline for the entitlement to travel expense reimbursement?,Chunk_14,chunk_14; chunk_16; chunk_40; chunk_39; chunk_38; chunk_36; chunk_1; chunk_17; chunk_12; chunk_34,"The entitlement to travel expense reimbursement expires if it is not applied for in writing or electronically within a limitation period of six months after the end of the official trip. The period begins the day after the end of the trip and ends on the day the trip would have ended, if applicable.",The entitlement to travel expense reimbursement expires if it is not applied for in writing or electronically within a limitation period of six months after the end of the official trip.,v1
Qwen/Qwen3-0.6B,20,What is the last date to submit a request for travel expense reimbursement?,Chunk_14,chunk_14; chunk_38; chunk_39; chunk_40; chunk_35; chunk_30; chunk_1; chunk_53; chunk_37; chunk_34,The entitlement to travel expense reimbursement expires if it is not applied for in writing or electronically within a limitation period of six months after the end of the official trip. The period begins the day after the end of the trip and ends on the day the trip would have ended.,The entitlement to travel expense reimbursement expires if it is not applied for in writing or electronically within a limitation period of six months after the end of the official trip.,v1
Qwen/Qwen3-0.6B,21,When does the six-month period deadline for applying to the travel expense reimbursement begin?,Chunk_14,chunk_14; chunk_38; chunk_30; chunk_35; chunk_39; chunk_12; chunk_40; chunk_36; chunk_53; chunk_7,The six-month period deadline for applying to the travel expense reimbursement begins the day after the end of the official trip.,"The period begins the day after the end of the trip; but in case the official trip is canceled for reasons not attributable to the official traveler, it ends on the day the trip would have ended.",v1
Qwen/Qwen3-0.6B,22,How is the start date determined for the six-month window to submit travel expense reimbursements?,Chunk_14,chunk_14; chunk_12; chunk_38; chunk_35; chunk_30; chunk_25; chunk_39; chunk_53; chunk_40; chunk_37,The entitlement to travel expense reimbursement expires if it is not applied for in writing or electronically within a limitation period of six months after the end of the official trip. The period begins the day after the end of the trip and ends on the day the trip would have ended.,"The period begins the day after the end of the trip; but in case the official trip is canceled for reasons not attributable to the official traveler, it ends on the day the trip would have ended.",v1
Qwen/Qwen3-0.6B,23,Is the submission of receipts required for the travel expense reimbursement application?,Chunk_14,chunk_14; chunk_40; chunk_38; chunk_16; chunk_7; chunk_33; chunk_37; chunk_39; chunk_36; chunk_34,"Yes, the submission of receipts is required for the travel expense reimbursement application under the State Travel Expense Act (LRKG).",The competent authorities may require the submission of the relevant cost receipts up to six months after the application.,v1
Qwen/Qwen3-0.6B,24,Does the travel expense reimbursement application need receipts to be submitted with it?,Chunk_14,chunk_14; chunk_40; chunk_38; chunk_7; chunk_16; chunk_33; chunk_39; chunk_37; chunk_15; chunk_13,"Yes, the travel expense reimbursement application needs receipts to be submitted.",The competent authorities may require the submission of the relevant cost receipts up to six months after the application.,v1
Qwen/Qwen3-0.6B,25,When is the deadline for submitting payment receipts?,Chunk_14,chunk_14; chunk_53; chunk_38; chunk_70; chunk_12; chunk_26; chunk_25; chunk_39; chunk_35; chunk_80,"The deadline for submitting payment receipts is within six months after the end of the official trip. If the receipts are not submitted within one month upon request, the reimbursement application may be rejected to that extent.","If these receipts are not submitted within one month upon request, the reimbursement application may be rejected to that extent.",v1
Qwen/Qwen3-0.6B,26,What's the last day to turn in proof of payment?,Chunk_14,chunk_14; chunk_30; chunk_53; chunk_25; chunk_46; chunk_70; chunk_12; chunk_35; chunk_74; chunk_38,The last day to turn in proof of payment is one month after the request is made.,"If these receipts are not submitted within one month upon request, the reimbursement application may be rejected to that extent.",v1
Qwen/Qwen3-0.6B,27,Can I throw away my receipts after submitting them?,Chunk_14,chunk_14; chunk_16; chunk_34; chunk_26; chunk_27; chunk_33; chunk_39; chunk_55; chunk_40; chunk_17,"No, you cannot throw away your receipts after submitting them. The receipts must be kept for a year after reimbursement and presented upon request.",The official traveler is obliged to keep the cost receipts for one year after the reimbursement for purposes of audit and to present them upon request.,v1
Qwen/Qwen3-0.6B,28,Are you able to discard receipts once they’ve been submitted?,Chunk_14,chunk_14; chunk_34; chunk_16; chunk_17; chunk_49; chunk_73; chunk_26; chunk_55; chunk_27; chunk_38,"No, the receipts can only be discarded if they have already been submitted and are no longer needed.",The official traveler is obliged to keep the cost receipts for one year after the reimbursement for purposes of audit and to present them upon request.,v1
Qwen/Qwen3-0.6B,29,Can I submit a waiver electronically?,Chunk_14,chunk_17; chunk_14; chunk_10; chunk_16; chunk_53; chunk_52; chunk_3; chunk_8; chunk_45; chunk_74,"Yes, you can submit a waiver electronically.",A waiver must be declared in writing or electronically.,v1
Qwen/Qwen3-0.6B,30,Are digital waiver submissions permitted?,Chunk_14,chunk_17; chunk_84; chunk_10; chunk_45; chunk_14; chunk_16; chunk_74; chunk_81; chunk_3; chunk_78,"Yes, digital waiver submissions are permitted under the State Travel Expense Act (LRKG).",A waiver must be declared in writing or electronically.,v1
Qwen/Qwen3-0.6B,31,"I have benefits from third parties, how does this affect my travel expense reimbursement?",Chunk_15,chunk_15; chunk_16; chunk_40; chunk_13; chunk_36; chunk_20; chunk_7; chunk_31; chunk_55; chunk_6,"The entitlement to travel expense reimbursement is generally credited against the reimbursement, regardless of whether the traveler has benefits from third parties. However, if a traveler has benefits from third parties, they may not be entitled to reimbursement for travel expenses if those benefits are not provided by the same body. This applies even if the traveler has waived their claim against that body.",Benefits that official travelers receive in the exercise of their office from third parties on the occasion of an official trip shall be credited against the travel expense reimbursement.,v1
Qwen/Qwen3-0.6B,32,How do outside benefits impact the process of getting reimbursed for my travel costs?,Chunk_15,chunk_57; chunk_13; chunk_40; chunk_36; chunk_7; chunk_19; chunk_15; chunk_18; chunk_37; chunk_20,"The outside benefits do not impact the process of getting reimbursed for travel costs under the State Travel Expense Act (LRKG). The reimbursement is determined based on the official travel and related expenses, and the specific benefits granted are conditional on the circumstances of the official trip.",Benefits that official travelers receive in the exercise of their office from third parties on the occasion of an official trip shall be credited against the travel expense reimbursement.,v1
Qwen/Qwen3-0.6B,33,"In case of a trip done for a secondary activity, am I still entitled to travel expense reimbursement?",Chunk_16,chunk_16; chunk_40; chunk_37; chunk_34; chunk_36; chunk_7; chunk_39; chunk_14; chunk_13; chunk_38,"In case of a trip done for a secondary activity, you are still entitled to travel expense reimbursement under the State Travel Expense Act (LRKG).","For official trips undertaken for a secondary activity, which is performed at the request, suggestion, or instigation of the competent authority, travelers shall only be entitled to reimbursement under this Act to the extent that no other body provides reimbursement for the same trip. This applies even if the traveler has waived his or her claim against that body.",v1
Qwen/Qwen3-0.6B,34,Are travel costs covered when the trip is primarily for something other than work?,Chunk_16,chunk_2; chunk_8; chunk_13; chunk_7; chunk_5; chunk_18; chunk_40; chunk_57; chunk_20; chunk_37,"Yes, travel costs are covered when the trip is primarily for something other than work. The revised State Travel Expense Act includes provisions that allow for reimbursement of travel and flight costs, as well as other expenses related to official errands.","For official trips undertaken for a secondary activity, which is performed at the request, suggestion, or instigation of the competent authority, travelers shall only be entitled to reimbursement under this Act to the extent that no other body provides reimbursement for the same trip. This applies even if the traveler has waived his or her claim against that body.",v1
Qwen/Qwen3-0.6B,35,"If I waive my right to reimbursement from another organization, can I still receive reimbursement under this regulation, or am I considered to be covered by the other organization?",Chunk_16,chunk_16; chunk_17; chunk_81; chunk_6; chunk_76; chunk_14; chunk_34; chunk_36; chunk_39; chunk_7,"If you waive your right to reimbursement from another organization, you can still receive reimbursement under this regulation. You are not considered to be covered by the other organization, but you may still be entitled to reimbursement under this Act.","For official trips undertaken for a secondary activity, which is performed at the request, suggestion, or instigation of the competent authority, travelers shall only be entitled to reimbursement under this Act to the extent that no other body provides reimbursement for the same trip. This applies even if the traveler has waived his or her claim against that body.",v1
Qwen/Qwen3-0.6B,36,"If I choose not to seek payment from a different entity, does that affect my eligibility for reimbursement under these rules, or would that other entity be considered my primary coverage?",Chunk_16,chunk_16; chunk_60; chunk_55; chunk_18; chunk_13; chunk_12; chunk_19; chunk_40; chunk_34; chunk_36,"If you choose not to seek reimbursement from a different entity, it does not affect your eligibility for reimbursement under these rules. The rules state that reimbursement is only provided to the extent that no other body provides reimbursement for the same trip. Therefore, even if you have waived your claim against that body, the other entity would still be considered your primary coverage.","For official trips undertaken for a secondary activity, which is performed at the request, suggestion, or instigation of the competent authority, travelers shall only be entitled to reimbursement under this Act to the extent that no other body provides reimbursement for the same trip. This applies even if the traveler has waived his or her claim against that body.",v1
Qwen/Qwen3-0.6B,37,Can I partially waive my travel expense reimbursement?,Chunk_17,chunk_16; chunk_17; chunk_14; chunk_40; chunk_34; chunk_7; chunk_36; chunk_37; chunk_18; chunk_19,"Yes, the traveler may partially waive their travel expense reimbursement. Such a waiver must be declared in writing or electronically.",The traveler may waive all or part of the travel expense reimbursement and reimbursement of expenses.,v1
Qwen/Qwen3-0.6B,38,Are you able to accept less than the full amount for your travel costs?,Chunk_17,chunk_18; chunk_48; chunk_2; chunk_55; chunk_13; chunk_28; chunk_57; chunk_5; chunk_7; chunk_26,"Yes, the context allows for accepting less than the full amount for travel costs, provided that the travel class is the lowest available and exceptions are permitted.",The traveler may waive all or part of the travel expense reimbursement and reimbursement of expenses.,v1
Qwen/Qwen3-0.6B,39,Will I be refunded for costs related to using regular public transport?,Chunk_18,chunk_18; chunk_13; chunk_34; chunk_20; chunk_1; chunk_36; chunk_7; chunk_33; chunk_40; chunk_5,"Yes, you will be refunded for costs related to using regular public transport, as outlined in the State Travel Expense Act (LRKG) § Reimbursement of Travel and Flight Costs.",Necessary costs incurred for journeys using regularly scheduled public transport shall be reimbursed up to the cost of the lowest travel class.,v1
Qwen/Qwen3-0.6B,40,Are expenses for typical public transportation reimbursable?,Chunk_18,chunk_18; chunk_13; chunk_20; chunk_33; chunk_7; chunk_5; chunk_36; chunk_40; chunk_34; chunk_31,"Yes, expenses for typical public transportation are reimbursable under the State Travel Expense Act (LRKG) § Reimbursement of Travel and Flight Costs. The necessary costs incurred for journeys using regularly scheduled public transport shall be reimbursed up to the cost of the lowest travel class.",Necessary costs incurred for journeys using regularly scheduled public transport shall be reimbursed up to the cost of the lowest travel class.,v1
Qwen/Qwen3-0.6B,41,What are the circumstances in which reimbursement for a higher class of travel is permitted?,Chunk_19,chunk_36; chunk_19; chunk_65; chunk_18; chunk_16; chunk_13; chunk_1; chunk_6; chunk_40; chunk_2,"The circumstances in which reimbursement for a higher class of travel is permitted are:

- If an official traveler has a disability degree of at least a certain percentage, their expenses for the next higher class shall be reimbursed.  
- The same concession may be granted to other official travelers if their physical or health condition justifies the use of this class.","If official travelers have a disability degree of at least 50 percent, the expenses for the next higher class shall be reimbursed. The same concession may be granted to other official travelers if their physical or health condition justifies the use of this class.",v1
Qwen/Qwen3-0.6B,42,Could you please explain the situations that allow for approval of travel expenses beyond standard class?,Chunk_19,chunk_65; chunk_36; chunk_18; chunk_2; chunk_8; chunk_6; chunk_55; chunk_81; chunk_19; chunk_13,"The situations allowing for approval of travel expenses beyond standard class are those where the travel is for official purposes, and the cost is reimbursed with the consent of the highest competent authority or its authorized authority.","If official travelers have a disability degree of at least 50 percent, the expenses for the next higher class shall be reimbursed. The same concession may be granted to other official travelers if their physical or health condition justifies the use of this class.",v1
Qwen/Qwen3-0.6B,43,Is the cost of a rental car or taxi reimbursed?,Chunk_20,chunk_20; chunk_18; chunk_7; chunk_13; chunk_42; chunk_36; chunk_40; chunk_31; chunk_12; chunk_34,"Yes, the cost of a rental car or taxi is reimbursed under the State Travel Expense Act (LRKG) §  Reimbursement of Travel and Flight Costs.","If, for a compelling reason, a rental car or taxi is used, the necessary costs incurred shall be reimbursed. If no compelling reason exists, no higher travel expense reimbursement may be granted than when using public transport.",v1
Qwen/Qwen3-0.6B,44,Are rental car or taxi expenses covered?,Chunk_20,chunk_20; chunk_7; chunk_29; chunk_13; chunk_23; chunk_18; chunk_31; chunk_33; chunk_40; chunk_5,"Yes, rental car or taxi expenses are covered under the State Travel Expense Act (LRKG) §  Reimbursement of Travel and Flight Costs.","If, for a compelling reason, a rental car or taxi is used, the necessary costs incurred shall be reimbursed. If no compelling reason exists, no higher travel expense reimbursement may be granted than when using public transport.",v1
Qwen/Qwen3-0.6B,45,How much is the surcharge of mileage allowance in case of difficult roads?,Chunk_23,chunk_23; chunk_22; chunk_69; chunk_20; chunk_7; chunk_12; chunk_65; chunk_18; chunk_26; chunk_36,The surcharge for the mileage allowance in the case of difficult roads is **cents per kilometer**.,The surcharge amounts to 5 cents per kilometer.,v1
Qwen/Qwen3-0.6B,46,Could you please clarify the extra cost added to mileage reimbursement when driving on challenging roads?,Chunk_23,chunk_23; chunk_20; chunk_22; chunk_7; chunk_36; chunk_18; chunk_57; chunk_12; chunk_4; chunk_13,The extra cost added to mileage reimbursement when driving on challenging roads is **cents per kilometer**.,The surcharge amounts to 5 cents per kilometer.,v1
Qwen/Qwen3-0.6B,47,How much euros is the per diem allowance for a full calendar day of an official trip?,Chunk_24,chunk_24; chunk_26; chunk_27; chunk_25; chunk_35; chunk_57; chunk_48; chunk_46; chunk_55; chunk_28,The per diem allowance for a full calendar day of an official trip is **€1.00**.,"For each full calendar day of an official trip, a per diem allowance of 24 euros is granted to compensate for additional expenses for meals.",v1
Qwen/Qwen3-0.6B,48,"What is the daily allowance amount, in euros, for official travel covering a complete 24-hour period?",Chunk_24,chunk_24; chunk_28; chunk_57; chunk_26; chunk_22; chunk_23; chunk_35; chunk_55; chunk_48; chunk_2,The daily allowance amount for official travel covering a complete 24-hour period is **G euros**.,"For each full calendar day of an official trip, a per diem allowance of 24 euros is granted to compensate for additional expenses for meals.",v1
Qwen/Qwen3-0.6B,49,"In case of an official trip lasting less than one full calendar day, how much is the per diem allowance?",Chunk_24,chunk_24; chunk_26; chunk_25; chunk_70; chunk_27; chunk_35; chunk_48; chunk_46; chunk_55; chunk_2,"In case of an official trip lasting less than one full calendar day, the per diem allowance is **G euros** for a duration of more than  hours, and **G euros** for a duration of more than  hours.","For an official trip lasting less than one full calendar day, on the day of departure and the day of return of a multi-day trip, the per diem allowance shall be: 6 euros for a duration of more than 8 hours, and 12 euros for a duration of more than 14 hours.",v1
Qwen/Qwen3-0.6B,50,What is the daily expense rate for business travel that doesn't span a complete 24-hour period?,Chunk_24,chunk_30; chunk_48; chunk_2; chunk_5; chunk_7; chunk_28; chunk_24; chunk_18; chunk_25; chunk_35,"The daily expense rate for business travel that doesn't span a complete 24-hour period is not explicitly mentioned in the context provided. However, based on the information, the reimbursement for travel and flight costs is granted up to the cost of the lowest travel class, with exceptions allowed by the highest competent authority or its authorized subordinate authority.","For an official trip lasting less than one full calendar day, on the day of departure and the day of return of a multi-day trip, the per diem allowance shall be: 6 euros for a duration of more than 8 hours, and 12 euros for a duration of more than 14 hours.",v1
Qwen/Qwen3-0.6B,51,How is the duration of the official trip determined?,Chunk_25,chunk_25; chunk_70; chunk_30; chunk_64; chunk_14; chunk_8; chunk_47; chunk_46; chunk_12; chunk_9,"The duration of the official trip is determined from the time of departure from and arrival at the residence, unless the trip begins or ends at the official premises or the start and/or end have been ordered at the official premises. In the case of several residences or accommodations, the one nearest to the official premises shall be decisive.","The duration of the official trip is determined from the time of departure from and arrival at the residence, unless the trip begins or ends at the official premises, or the beginning and/or end has been ordered at the official premises.",v1
Qwen/Qwen3-0.6B,52,What factors decide how long the business travel will last?,Chunk_25,chunk_64; chunk_30; chunk_25; chunk_8; chunk_14; chunk_48; chunk_70; chunk_47; chunk_12; chunk_54,"The factors that decide how long the business travel will last are determined by the duration of the official trip, which is determined from the time of departure from and arrival at the residence, unless the trip begins or ends at the official premises or is ordered at the official premises. In cases where several residences or accommodations are involved, the one nearest to the official premises is considered decisive.","The duration of the official trip is determined from the time of departure from and arrival at the residence, unless the trip begins or ends at the official premises, or the beginning and/or end has been ordered at the official premises.",v1
Qwen/Qwen3-0.6B,53,Am I entitled to a per diem allowance when going on an official errand?,Chunk_26,chunk_26; chunk_24; chunk_27; chunk_35; chunk_25; chunk_46; chunk_48; chunk_70; chunk_45; chunk_55,"Based on the context provided, you are entitled to a per diem allowance for official errands if the trip lasts more than eight hours, as per § C of the State Travel Expense Act (LRKG). If the duration is less than eight hours, you are entitled to the per diem allowance for a full calendar day, and the amount depends on the duration. Additionally, if meals are provided by a third party and the reimbursement includes meal costs, the per diem allowance is withheld at a specified percentage.","For official errands, there is no entitlement to a per diem allowance.",v1
Qwen/Qwen3-0.6B,54,Are employees reimbursed for expenses incurred while completing work-related tasks away from their usual work location?,Chunk_26,chunk_12; chunk_40; chunk_7; chunk_39; chunk_16; chunk_38; chunk_14; chunk_34; chunk_33; chunk_36,"Yes, employees are reimbursed for expenses incurred while completing work-related tasks away from their usual work location, as outlined in the State Travel Expense Act (LRKG).","For official errands, there is no entitlement to a per diem allowance.",v1
Qwen/Qwen3-0.6B,55,Under what condition can an official errand be covered by per diem allowance?,Chunk_26,chunk_26; chunk_24; chunk_35; chunk_27; chunk_25; chunk_46; chunk_70; chunk_48; chunk_55; chunk_45,"An official errand can be covered by a per diem allowance under the following conditions:

- If the errand lasts more than eight hours and is documented for meals, the reimbursement is up to the per diem allowance applicable for an official trip.
- For official trips lasting less than one full calendar day, the per diem allowance is granted as per the specified amounts.
- For official trips on the occasion of a transfer, secondment, or termination of a secondment, the per diem allowance is granted until the end of the day of arrival, provided a separation allowance is received.
- If official travelers receive complimentary meals in their official duties, the percentages for breakfast, lunch, and dinner for a full calendar day shall be withheld from the entitled per diem. The same applies if meals are provided by a third party and the charge is included in the reimbursable expenses.

The duration of the official trip is determined from the time of departure from and arrival at the residence, unless the trip begins or ends at the official premises.","For errands lasting more than eight hours, the necessary documented expenses for meals shall be reimbursed up to the amount of the per diem allowance applicable for an official trip.",v1
